Date,Open,High,Low,Close,Adj Close,Volume
2019-03-31,4.786159,4.837245,4.762903,4.823973,4.823973,149120802
2019-04-01,4.823576,4.847944,4.798939,4.823291,4.823291,203584705
2019-04-02,4.825342,5.466791,4.808495,5.455277,5.455277,490865718
2019-04-03,5.456313,6.116690,5.225926,5.459138,5.459138,607791271
2019-04-04,5.438634,5.619222,5.260623,5.356614,5.356614,426653091
2019-04-05,5.356675,5.931355,5.356675,5.822169,5.822169,434760409
2019-04-06,5.822023,6.073136,5.551308,5.995260,5.995260,422594961
2019-04-07,5.998129,7.920733,5.998129,7.669719,7.669719,1367951557
2019-04-08,7.676794,7.895894,6.867199,7.201416,7.201416,870935828
2019-04-09,7.197495,7.401070,6.782810,6.987161,6.987161,605526746
2019-04-10,6.987186,7.230771,6.957911,7.045967,7.045967,530422510
2019-04-11,7.043663,7.052261,6.069026,6.293354,6.293354,596379347
2019-04-12,6.288098,6.476760,5.983514,6.370122,6.370122,467890649
2019-04-13,6.370846,6.433858,6.202430,6.340872,6.340872,371860556
2019-04-14,6.342391,6.446650,6.198081,6.441833,6.441833,371013644
2019-04-15,6.441833,6.531847,6.083663,6.192436,6.192436,438340735
2019-04-16,6.194356,6.318612,6.092067,6.305150,6.305150,373441626
2019-04-17,6.306171,6.342716,6.160300,6.226719,6.226719,359614141
2019-04-18,6.225276,6.392965,6.210299,6.337161,6.337161,405282922
2019-04-19,6.340707,6.360115,6.221372,6.289603,6.289603,370875840
2019-04-20,6.291816,6.332192,6.185783,6.246762,6.246762,346816505
2019-04-21,6.243256,6.245441,5.757797,5.927187,5.927187,425303026
2019-04-22,5.926064,5.976985,5.832193,5.940961,5.940961,377418221
2019-04-23,5.937839,6.132588,5.883173,5.956247,5.956247,392368632
2019-04-24,5.954878,5.955449,5.463526,5.601913,5.601913,491679408
2019-04-25,5.599312,5.720057,5.298026,5.396578,5.396578,401668998
2019-04-26,5.402827,5.489831,5.300490,5.435779,5.435779,425208370
2019-04-27,5.436509,5.556762,5.430930,5.501984,5.501984,381560781
2019-04-28,5.506927,5.653898,5.449791,5.581898,5.581898,369284398
2019-04-29,5.585603,5.701786,5.498887,5.568480,5.568480,451768362
2019-04-30,5.570105,5.924558,5.569816,5.899628,5.899628,469034064
2019-05-01,5.902004,5.967997,5.773073,5.838767,5.838767,437370461
2019-05-02,5.840356,5.845051,5.755287,5.786555,5.786555,433550375
2019-05-03,5.789477,6.162658,5.766184,6.073410,6.073410,523886695
2019-05-04,6.071822,6.160898,5.739861,5.831927,5.831927,476232964
2019-05-05,5.830159,5.863870,5.659299,5.737807,5.737807,424731401
2019-05-06,5.737285,5.773108,5.531695,5.692517,5.692517,457954180
2019-05-07,5.692020,5.892624,5.650929,5.665072,5.665072,476896645
2019-05-08,5.665602,5.771673,5.590950,5.733888,5.733888,429553715
2019-05-09,5.733500,5.806578,5.496380,5.568093,5.568093,392012219
2019-05-10,5.565950,5.723455,5.505333,5.637077,5.637077,483140799
2019-05-11,5.637771,6.365117,5.615704,6.077590,6.077590,776014181
2019-05-12,6.077697,6.212811,5.764090,5.823905,5.823905,735292770
2019-05-13,5.827275,6.241442,5.781268,6.088977,6.088977,718560258
2019-05-14,6.094460,6.681879,6.077310,6.555623,6.555623,855242307
2019-05-15,6.570597,7.596979,6.520753,7.584796,7.584796,877976798
2019-05-16,7.571947,8.388955,7.095301,7.647676,7.647676,1311469890
2019-05-17,7.652769,7.779091,6.842719,7.220164,7.220164,988083258
2019-05-18,7.221652,7.414489,7.071427,7.164676,7.164676,615035489
2019-05-19,7.172892,7.947566,7.136517,7.843965,7.843965,690201759
2019-05-20,7.860355,7.860355,7.183674,7.410465,7.410465,631457067
2019-05-21,7.414893,7.631278,7.235578,7.457754,7.457754,584199672
2019-05-22,7.460572,7.507343,6.863980,6.958096,6.958096,576207968
2019-05-23,6.948627,7.124589,6.719619,7.066852,7.066852,498397529
2019-05-24,7.090949,7.424904,6.961959,7.285616,7.285616,645224198
2019-05-25,7.283192,7.369410,7.181995,7.301825,7.301825,465778838
2019-05-26,7.302722,7.704645,7.104676,7.661638,7.661638,626354051
2019-05-27,7.659703,8.262540,7.585460,8.194633,8.194633,769918616
2019-05-28,8.159735,8.398047,8.025840,8.220060,8.220060,837088101
2019-05-29,8.220691,8.415891,7.706117,8.176266,8.176266,688912471
2019-05-30,8.169968,8.815034,7.915120,8.134445,8.134445,957435238
2019-05-31,8.144025,8.696759,7.945002,8.658670,8.658670,839281824
2019-06-01,8.651550,8.851853,8.462785,8.573451,8.573451,859858804
2019-06-02,8.579876,9.552956,8.579876,9.515165,9.515165,992624941
2019-06-03,9.518380,9.693892,9.115067,9.411114,9.411114,1170920227
2019-06-04,9.398345,9.398345,7.711301,8.212074,8.212074,1156648678
2019-06-05,8.242176,8.357960,7.839231,8.166260,8.166260,882398657
2019-06-06,8.165030,8.206500,7.381989,7.979028,7.979028,762379591
2019-06-07,7.969643,8.386899,7.808372,8.216002,8.216002,717510077
2019-06-08,8.221437,8.725642,8.072530,8.461664,8.461664,830432072
2019-06-09,8.459623,8.531968,7.918322,8.154365,8.154365,728018274
2019-06-10,8.136030,8.392359,7.925729,8.295006,8.295006,675313605
2019-06-11,8.284959,8.346917,8.033231,8.257887,8.257887,508941951
2019-06-12,8.262892,8.781267,8.141232,8.555223,8.555223,705350374
